cpus=4
 inference_drive-203126 [002] 22650.244821: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244828: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244833: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244840: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244844: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244851: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244855: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244862: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244867: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244874: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244880: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244888: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244893: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244900: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244905: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244913: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244918: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244926: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244931: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244939: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244944: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244951: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244956: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244963: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244969: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244976: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244982: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244989: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244994: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245002: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245006: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245013: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245018: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245025: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245030: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245037: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245042: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245051: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245057: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245065: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245071: sys_exit_ioctl:       0x0
